UserLinkId,Reputation,Comments,Answers,Questions
"-1","1","0","0","0"
"1","101","0","0","0"
"2","101","0","0","0"
"3","101","0","0","0"
"4","733","7","3","1"
"5","201","4","0","1"
"6","186","0","3","0"
"7","101","0","0","0"
"8","1835","10","5","5"
"9","2275","13","0","4"
"11","101","0","0","0"
"12","1","0","0","0"
"14","1556","0","1","0"
"15","101","0","0","0"
"16","166","1","1","0"
"17","370","3","2","0"
"18","113","6","0","1"
"19","101","0","0","0"
"20","3440","48","4","13"
"21","718","6","1","1"
"22","693","7","2","1"
"23","121","1","1","0"
"24","1","0","0","0"
"25","101","0","0","0"
"26","1478","5","6","1"
"27","453","2","0","3"
"28","715","9","1","2"
"29","1","0","0","0"
"30","151","0","1","0"
"31","101","0","0","0"
"32","101","0","0","0"
"33","101","0","0","0"
"34","101","0","0","0"
"35","7235","48","6","11"
"36","101","0","0","0"
"37","1927","22","0","14"
"38","478","12","4","1"
"39","473","1","0","3"
"40","21614","804","123","10"
"41","101","0","0","0"
"42","103","2","0","0"
"43","101","0","0","0"
"44","101","1","0","0"
"45","101","0","0","0"
"47","101","0","0","0"
"48","186","0","3","0"
"49","1524","7","5","2"
"50","101","0","0","0"
"51","101","0","0","0"
"52","499","4","4","1"
"53","133","0","0","1"
"54","5570","57","16","5"
"55","101","0","0","0"
"56","32368","2986","424","4"
"57","101","0","0","0"
"58","1","1","0","0"
"59","101","0","0","0"
"60","342","5","0","1"
"61","579","0","1","1"
"62","101","0","1","0"
"63","235","2","0","1"
"64","101","1","0","0"
"65","423","6","1","3"
"66","101","0","0","0"
"67","101","3","1","0"
"68","5311","16","0","14"
"69","184","14","3","0"
"70","1136","10","7","0"
"71","101","0","0","0"
"72","2872","20","11","8"
"73","101","0","0","0"
"74","1574","50","5","1"
"75","293","3","0","1"
"76","313","9","3","0"
"77","101","0","0","0"
"78","101","0","0","0"
"79","101","0","0","0"
"80","101","0","0","0"
"81","123","0","0","1"
"82","1","0","0","0"
"83","101","0","0","0"
"84","209","3","2","0"
"85","1917","34","7","11"
"86","14432","478","94","19"
"87","1614","28","5","5"
"88","713","0","0","2"
"89","380","1","1","0"
"90","2035","11","5","5"
