UserLinkId,Reputation,Comments,Answers,Questions
"-1","1","0","0","0"
"2","101","0","0","0"
"3","101","0","0","0"
"4","101","0","0","0"
"5","101","0","0","0"
"6","101","0","0","0"
"8","1531","5","6","1"
"9","2058","5","24","1"
"10","2162","9","2","3"
"11","5580","56","34","14"
"12","466","2","4","0"
"13","2723","35","11","4"
"14","101","0","0","0"
"15","101","0","0","0"
"16","171","1","0","1"
"17","101","0","0","0"
"18","904","0","7","0"
"19","22138","514","175","25"
"20","101","6","0","0"
"21","101","0","0","0"
"22","381","4","2","1"
"23","1083","5","5","6"
"24","1954","22","7","4"
"25","101","0","0","0"
"26","60946","2499","402","282"
"27","107","2","0","1"
"28","1255","9","2","7"
"29","1","0","0","0"
"30","10625","103","31","40"
"31","2089","23","8","9"
"32","101","0","0","0"
"33","2096","6","4","7"
"34","1625","13","3","5"
"35","401","0","2","0"
"36","688","47","2","2"
"37","425","11","0","4"
"38","101","0","0","0"
"39","670","6","0","2"
"40","1252","2","9","0"
"41","101","0","0","0"
"42","101","1","0","0"
"43","746","1","1","3"
"44","16264","175","137","85"
"45","583","2","0","7"
"46","68393","1208","484","28"
"47","131","0","1","0"
"48","345","6","6","0"
"49","101","0","0","0"
"50","263","2","0","1"
"51","631","10","2","2"
"52","101","0","0","0"
"53","363","1","0","1"
"54","7513","34","48","0"
"55","293","7","0","1"
"56","385","0","2","1"
"57","535","2","0","4"
"58","109","0","1","0"
"59","1491","26","5","10"
"60","2173","12","6","19"
"61","101","0","0","0"
"62","10211","178","57","12"
"63","1468","16","10","5"
"64","1528","13","7","5"
"65","2534","36","18","2"
"66","561","6","2","2"
"67","101","0","0","0"
"68","981","5","4","1"
"69","284","26","0","3"
"70","101","0","0","0"
"71","101","2","0","0"
"72","777","0","0","3"
"73","787","9","5","0"
"74","1525","15","12","0"
"75","7725","29","45","25"
"76","101","0","0","0"
"77","673","5","0","6"
"78","2008","5","5","15"
"79","101","0","0","0"
"80","330","3","1","2"
